id_operacion,id_tipo,id_unidad_resp,id_zona,nombre_operacion,fecha_inicio,fecha_fin,efectivos_desplegados,vehiculos_utilizados,duracion_dias,costo_operacion,resultado,detenidos,area_km2,incidentes,observaciones
25,5,23,3,Bombero (enero 2021),09-30-2021,10-13-2021,+200,  28  ,aprox 13,203833,No reportado,NINGUNO,aprox. 2000 km²,10 incidentes,"Contención de incendio forestal
en zona protegida"
26,6,13,23,Op.Hermandad/2021,31/ENE/2021,02-01-2021,30,aprox 5,aprox. 1,"Bs 32.755,28",En proceso,,50 Km2,-,
27,2,34,6,Op.Vigía/2024,"octubre 15, 2024",2024/11/04,300,  18  ,VEINTE,"Bs. 33,282.37",en curso,veinte,300 km²,1,
28,1,48,16,  Centinela 2025  ,15/01/2025,20/01/2025,200 efectivos,dieciséis,aprox. 5,"Bs.- 66,279.80",BUENO,aprox. 3,800 Km2,2,"Se establecieron puntos de control
en rutas secundarias"
29,7,28,17,Operación 'Puma',20220823,16/09/2022,300 efectivos,6,24 días,"Bs. 110,962.64",S/N,Sin detenidos,1000 km2,-,"Maniobras de simulación
de combate en terreno montañoso"
30,4,11,14,Emergencia—2023,11-mar-2023,2023/03/25,300 efectivos,aprox 44,aprox. 14 días,"367,467.63 Bs",,cero,2000,TRES,"Puentes temporales instalados
por ingeniería militar"
31,2,31,20,Op. Control #9,12-15-2021,31/12/2021,250,+16,+16,"$us 4,397.25",incompleta,8 pers.,  50 km2  ,aprox. 5,Relevo de personal en posiciones avanzadas
32,7,24,11,jaguar 2025,26-dic-2025,20251231,aprox 100,aprox 31,aprox. 5,Bs 20.761,Operación concluida,n/a,  1000 km2  ,-,"Maniobras de simulación
de combate en terreno montañoso"
33,6,4,1,Op Integración - 2022/3,8/JUL/2022,16/07/2022,50,(7 vehículos),  8  ,"Bs.- 18,168.92",en curso,N/A,10,Ninguno,
34,7,10,9,Op Amazonia - 2021/5,"junio 27, 2021",25/07/2021,cincuenta,15 vehículos,aprox. 28,"34,385.84 Bs","Sí, exitosa",ninguno,~100 km²,,EJERCICIO DE 'GUERRA NO CONVENCIONAL'
35,3,40,14,OPERACIÓN BARRERA 2021,08-30-2021,09-10-2021,80.,aprox. 24,11,74356,Incompleta,null,null,null,Coordinación con Aduana Nacional
36,3,41,21,cerco 2023,08-15-2023,25/AGO/2023,+100,aprox. 11,10,"Bs. 16,598.62",Incompleta,8 det.,1000 km2,n/a,
37,1,50,2,Operación 'Tormenta',15/06/2023,03/07/2023,250,+10,18,BS 44418,Bueno,  1  ,150 Km2,(2),Resultado: 'Bueno' según informe final
38,1,50,2,Op. Águila #6,2025-10-27,10-nov-2025,aprox. 200 efectivos,aprox. 28,14.,148058 bolivianos,por evaluar,  1  ,500 km²,s/d,"Incautación de precursores
químicos en laboratorio"
39,7,35,25,jaguar 2024,01-16-2024,"febrero 7, 2024",aprox 200,  19  ,22,Bs 150.244,logrado,cero,500 Km2,n/a,Evaluación de capacidades operativas
40,7,35,25,jaguar 2024,01-16-2024,"febrero 7, 2024",aprox 200,  19  ,22,Bs 150.244,logrado,cero,500 Km2,n/a,Evaluación de capacidades operativas
41,2,32,6,  Defensa 2022  ,06-02-2022,06-20-2022,250,+26,dieciocho,"$us 12,917.30",exitoso,15 pers.,200 Km2,5 inc.,RELEVO DE PERSONAL EN POSICIONES AVANZADAS
42,6,17,18,Operación Unidad 2021,26-jun-2021,20210721,100,13.,aprox. 25,9615 bolivianos,Logrado,cero,50 km²,n/a,
43,1,45,1,Amanecer (abril 2025),30/04/2025,2025-05-10,+100,aprox. 12,(10 días),"Bs. 85,571.20",Logrado,2,300 KM2,,Resultado: 'Logrado' según informe final
44,7,10,7,Wiphala—2025,04-22-2025,12/05/2025,TRESCIENTOS,aprox 22,~20,"USD 3,675.15",Éxito,ninguno,500 KM2,sin incidentes,Evaluación de capacidades operativas
45,7,12,23,Op. Altiplano #8,2021-02-28,20210316,,,aprox. 16 días,Bs 119.327,EN PROCESO,-,50,cero,
46,2,34,22,Vigía—2025,24/05/2025,20250607,(200 efectivos),aprox. 21 vehículos,+14,79237,En proceso,10,250 km²,sin incidentes,"Se detectó movimiento sospechoso
en zona limítrofe"
47,4,24,22,  Vida 2025  ,01-31-2025,02-26-2025,  300  ,42 vehículos,+26,"Bs 256.863,03",no logrado,,2000 km²,aprox. 2,"  Evacuación de familias afectadas
por crecida de ríos  "
48,2,32,11,Op Frontera - 2025/12,13/09/2025,"octubre 2, 2025",  200  ,16,19.,137942 bolivianos,FAVORABLE,8,aprox. 50 km²,1 incidentes,S/N
49,1,47,16,Op. Relámpago #8,6/MAR/2022,20220321,aprox. 150,(15 vehículos),(15 días),34002 bolivianos,"Sí, exitosa",5 detenidos,100 km2,2 incidentes,OPERACIÓN NOCTURNA — VISIBILIDAD REDUCIDA
50,1,45,1,OPERACIÓN FRONTERA SEGURA 2024,14-12-2024,23/12/2024,aprox. 200 efectivos,24,9,104130 bolivianos,Satisfactorio,3,200 Km2,  3  ,Decomiso de sustancias controladas en zona operativa
51,2,31,13,OPERACIÓN CENTINELA 2021,04-05-2021,28/04/2021,aprox. 100 efectivos,21.,aprox. 23,"Bs.148,282",SATISFACTORIO,8 personas,500 km2,3,Relevo de personal en posiciones avanzadas
52,1,49,8,Op. Amanecer #10,20230826,09-04-2023,~300,+23,NUEVE,"$us 14,884.07",PARCIAL,uno,250.0,SIN INCIDENTES,"Incautación de precursores
químicos en laboratorio"
53,2,32,23,Op. Defensa #14,2023/04/05,13/ABR/2023,CIENTO CINCUENTA,~20,(8 días),111434,bueno,2 pers.,50 Km2,8,Control de 'puntos ciegos' en la frontera
54,1,45,8,Op. Soberanía #11,20250317,2025-04-11,80,~29,(25 días),BS 126887,SATISFACTORIO,-,aprox. 500,2 incidentes,Resultado: 'SATISFACTORIO' según informe final
55,6,19,18,Puente—2025,26-ene-2025,02-14-2025,80 efectivos,(2 vehículos),+19,"13,059.71 Bs",Regular,0,20,,Ref. Op. 2025-18: Distribución de víveres a comunidades alejadas
56,5,23,22,"Op. ""Brasa"" #4",27/MAY/2024,06-25-2024,aprox 400,31,29,239572,Parcialmente exitoso,N/A,aprox. 2000,1,Flora y fauna en riesgo — operación prioritaria
57,7,11,25,  Chaco 2021  ,26-mar-2021,24-04-2021,CINCUENTA,aprox. 9,aprox. 29 días,48068.89,concluida,0 personas,1000 Km2,2 inc.,"Maniobras de simulación
de combate en terreno montañoso"
58,1,44,8,Operación 'Dragón',"abril 23, 2025",17-may-2025,aprox 300,29,24 días,"Bs.- 52,324.03",Bueno,  20  ,  150 km2  ,uno,Resultado: 'Bueno' según informe final
59,4,11,17,OPERACIÓN REFUGIO 2022,05/09/2022,28-sep-2022,  100  ,(46 vehículos),23 días,52539.93,Muy bueno,Ninguno,100,1,Rescate en zonas 'inundadas' por desborde
60,3,34,14,  Muralla 2024  ,2/JUL/2024,31-07-2024,120 efectivos,28,29,"Bs 32.978,94",No reportado,1,150,8,"Decomiso de
vehículos sin documentación"
61,5,23,22,OPERACIÓN SOFOCACIÓN 2023,2023/11/07,19/11/2023,~200,+16,(12 días),298380.65,EXITOSA,n/a,1000 km2,10,COORDINACIÓN CON 'BOMBEROS FORESTALES' Y VOLUNTARIOS
62,5,22,18,Brasa—2024,15/07/2024,2024/08/05,aprox. 150,aprox. 17 vehículos,aprox. 21 días,318474 bolivianos,Aceptable,cero,500.0,2,Coordinación con 'bomberos forestales' y voluntarios
63,1,45,8,  Águila 2025  ,06/02/2025,15/02/2025,aprox 50,29 vehículos,aprox. 9,"Bs. 25,020.19",COMPLETADA,8,100,dos,"Operación coordinada con
FELCN y Policía Nacional"
64,2,41,21,Op.Protección/2024,"septiembre 24, 2024",10-17-2024,(150 efectivos),+17,23 días,"USD 18,209.40",Incompleta,Ninguno,1000 Km2,aprox. 3,"Coordinación con fuerzas
del país vecino"
65,7,26,25,Op Wiphala - 2021/10,14-nov-2021,27-11-2021,aprox. 500 efectivos,VEINTICINCO,TRECE,"102,088.38 Bs",Sin resultados concretos,NINGUNO,1000 km2,N/A,"Maniobras de simulación
de combate en terreno montañoso"
66,8,25,25,Operación 'Confluencia',4/JUL/2024,"julio 10, 2024",~500,aprox. 16 vehículos,(6 días),"Bs.146,505",FAVORABLE,ninguno,500 KM2,0,
67,6,44,22,Operación Alianza 2021,24/SEP/2021,07/10/2021,aprox. 100,5,13,"$us 6,477.62",Parcialmente exitoso,Sin detenidos,50 km2,-,Campaña de vacunación — apoyo logístico militar
68,7,36,2,OPERACIÓN CÓNDOR 2021,20210823,20210919,cien,aprox 7,27 días,Bs 130.098,Éxito,0 personas,500 Km2,0,Evaluación de capacidades operativas
69,2,31,12,Operación Protección 2025,15-ago-2025,24/AGO/2025,250,5,~9,Bs 119.409,Exitoso,3,1000,0,Control de 'puntos ciegos' en la frontera
70,2,32,9,Operación Protección 2025-17,18/06/2025,07-16-2025,  80  ,VEINTICINCO,aprox. 28 días,"Bs. 114,880.91",-,  2  ,~500 km²,uno,Control de 'puntos ciegos' en la frontera
71,4,22,14,Operación 'Protección Civil',06-22-2024,29/06/2024,(400 efectivos),31,+7,"Bs.385,020",PARCIAL,Ninguno,aprox. 1000,  10  ,N/A
72,2,28,22,Frontera—2024,15/12/2024,"diciembre 31, 2024",(200 efectivos),  18  ,dieciséis,"Bs. 119,345.89",Positivo,  1  ,200 km²,SIN INCIDENTES,"Coordinación con fuerzas
del país vecino"
73,7,39,22,Operación 'Jaguar',29/06/2025,"julio 8, 2025",500,  23  ,+9,140488,regular,,~1000 km²,Ninguno,"Maniobras de simulación
de combate en terreno montañoso"
74,2,31,20,Centinela (septiembre 2024),04-02-2024,12/FEB/2024,aprox. 50 efectivos,(21 vehículos),8,101214 bolivianos,objetivo cumplido,diez,150 Km2,OCHO,S/N
75,4,10,13,Op. Refugio #6,30-03-2024,3-abr-2024,CIENTO CINCUENTA,aprox 11,4 días,BS 206442,FAVORABLE,n/a,500,10,"Evacuación de familias afectadas
por crecida de ríos"
76,4,24,14,  Amparo 2021  ,12/03/2021,"abril 2, 2021",~150,aprox. 24,aprox. 21 días,"$us 51,317.79",exitosa,sin detenidos,aprox. 500 km²,2,"Puentes temporales instalados
por ingeniería militar"
77,2,25,5,Op. Soberanía #20,2025/08/29,"septiembre 21, 2025",DOSCIENTOS,11 vehículos,23.,"$us 14,153.40",EXITOSA,ninguno,150 km2,2 incidentes,"Se detectó movimiento sospechoso
en zona limítrofe"
78,3,41,11,Operación Filtro 2024,13-04-2024,8-may-2024,  120  ,doce,(25 días),142297 bolivianos,Objetivo cumplido,0,50 Km2,dos,Control en punto fronterizo — resultado: Objetivo cumplido
79,3,40,11,Op Interceptor - 2021/9,06-02-2021,06-22-2021,  80  ,22.,veinte,"Bs 22.505,17",COMPLETADA,2 detenidos,1000,aprox. 1,INCAUTACIÓN DE MERCADERÍA DE CONTRABANDO
80,5,24,22,Op. Fénix #7,20220930,28/OCT/2022,(200 efectivos),28,aprox. 28,173802 bolivianos,sin dato,0 personas,  2000 km2  ,CINCO,"Helicópteros utilizados para
monitoreo aéreo del fuego"
81,7,2,10,Altiplano (enero 2025),18/08/2025,29/AGO/2025,50,+6,11,54320,logrado,0,100 km2,SIN INCIDENTES,Entrenamiento de supervivencia en selva
82,5,23,18,OPERACIÓN BRASA 2024,10/03/2024,18/MAR/2024,  400  ,  14  ,8.,BS 76142,parcialmente logrado,Ninguno,200,tres,Coordinación con 'bomberos forestales' y voluntarios
83,1,49,1,"Op. ""Soberanía"" #14",30/ABR/2023,"mayo 7, 2023",  150  ,18,7,71173 bolivianos,en proceso,ocho,aprox. 800 km²,sin incidentes,RESULTADO: 'EN PROCESO' SEGÚN INFORME FINAL
84,3,30,4,Operación Cerco 2024-10,3-mar-2024,03-07-2024,100,8 vehículos,+4,15965,Completada,1 det.,250 km2,aprox. 2,Control en punto fronterizo — resultado: Completada
85,5,24,22,Op. Cortafuego #9,01/08/2021,09-06-2021,aprox. 100 efectivos,40,36,BS 60719,Parcialmente exitoso,0,aprox. 100,0,
86,1,47,2,OPERACIÓN CÓNDOR DORADO 2025,15/SEP/2025,08/10/2025,aprox. 250,12.,aprox. 23 días,"$us 12,281.15",finalizada,15 det.,~200 km²,2 inc.,Resultado: 'finalizada' según informe final
87,2,41,24,  Frontera 2022  ,02/12/2022,22/DIC/2022,+250,aprox. 22 vehículos,~20,Bs 27.289,no logrado,3 personas,800 KM2,3 incidentes,Control de 'puntos ciegos' en la frontera
88,1,44,8,Operación 'Halcón',04-06-2024,2024-04-08,250.,(15 vehículos),2.,147044 bolivianos,parcial,sin detenidos,200 KM2,8,"Zona de difícil acceso, se requirió apoyo aéreo"
89,3,30,11,aduana 2024,13-02-2024,13/03/2024,50.,24,29,"Bs 112.384,24",SATISFACTORIO,  3  ,  100 km2  ,cinco,Operativo en 'ruta del contrabando'
90,2,41,22,Op Centinela - 2025/22,2025-12-21,31-12-2025,  250  ,veinte,10,BS 100701,favorable,  5  ,aprox. 150,1,Ref. Op. 2025-22: S/N
91,1,50,2,Op.Frontera Segura/2024,03-02-2024,04/03/2024,aprox. 50,12,~2,"$us 9,104.80",concluida,sin detenidos,~150 km²,1,"Se establecieron puntos de control
en rutas secundarias"
92,7,17,20,Operación 'Altiplano',2022/05/13,10/06/2022,QUINIENTOS,aprox. 16,(28 días),154715 bolivianos,S/N,n/a,50,n/a,Entrenamiento de supervivencia en selva
93,2,34,6,Op.Soberanía/2024,2024/11/04,30-11-2024,cien,(8 vehículos),26,134117,COMPLETADA,20 personas,300 km2,2 inc.,"Se detectó movimiento sospechoso
en zona limítrofe"
94,4,22,7,esperanza 2021,15-02-2021,03-23-2021,aprox. 300 efectivos,aprox. 12,~36,"Bs. 449,331.76",Parcialmente exitoso,N/A,500,cero,"Evacuación de familias afectadas
por crecida de ríos"
95,5,23,3,Verde (diciembre 2021),30-jul-2021,31-jul-2021,  300  ,50.,  1  ,"Bs 62.448,52",SIN RESULTADOS,N/A,~5000 km²,2,"Ref. Op. 2021-3: Contención de incendio forestal
en zona protegida"
96,6,28,4,Op Hermandad - 2023/7,08-20-2023,2023-09-17,aprox. 80,diez,aprox. 28,BS 14828,S/N,Sin detenidos,50 KM2,cero,
97,3,31,11,Op. Interceptor #12,16/07/2022,2022/08/06,  120  ,~20,21,Bs 72.798,OBJETIVO CUMPLIDO,1 personas,300 KM2,  2  ,"Decomiso de
vehículos sin documentación"
98,8,28,25,OPERACIÓN FRATERNIDAD 2021,08/12/2021,12-15-2021,+50,  40  ,7.,"$us 16,231.96",por evaluar,sin detenidos,1000,  1  ,"Maniobras combinadas
tierras bajas y altiplano"
99,7,37,7,Wiphala (mayo 2024),2024/05/18,02-06-2024,~50,aprox. 33 vehículos,15 días,"USD 10,585.16",COMPLETADA,Sin detenidos,200 km²,0,
100,2,25,9,Frontera (noviembre 2023),28/JUN/2023,20/07/2023,aprox. 50,+20,22,85730.18,negativo,cero,  100 km2  ,(3),"Se detectó movimiento sospechoso
en zona limítrofe"
101,2,32,25,OPERACIÓN SOBERANÍA 2023,30/09/2023,2023-10-08,(50 efectivos),7,  8  ,BS 137225,parcialmente logrado,cero,250 km²,8 incidentes,"  Coordinación con fuerzas
del país vecino  "
102,1,45,1,Operación Amanecer 2022,2022-06-05,"junio 30, 2022",aprox 100,8,  25  ,"$us 7,488.95",SATISFACTORIO,n/a,500 km2,dos,
103,2,25,5,Op. Soberanía #26,20/08/2024,09-02-2024,+50,treinta,(13 días),"Bs. 123,286.19",por evaluar,-,800,1 inc.,
104,4,10,13,Operación 'Amparo',23/01/2021,6-mar-2021,100 efectivos,34,42,BS 199836,Incompleta,Sin detenidos,  500 km2  ,10,"Puentes temporales instalados
por ingeniería militar"
105,4,10,14,Op.Vida/2021,04-08-2021,05-01-2021,100 efectivos,44,~23,BS 363974,finalizada,0 personas,200,cinco,
106,5,12,3,Operación Ceniza 2024,"noviembre 25, 2024",31/12/2024,400,40,~36,Bs 476.379,Aceptable,ninguno,2000,dos,
107,1,44,8,Cóndor Dorado—2024,"mayo 13, 2024",05-26-2024,CIENTO CINCUENTA,7.,13 días,"Bs. 144,672.39",fallida,aprox. 2,250 km2,uno,
108,3,32,12,Control Total (diciembre 2025),05-30-2025,16/06/2025,,,,,,,,,
109,8,31,25,Operación Fraternidad 2025-05,15/05/2025,28/MAY/2025,  300  ,26 vehículos,aprox 13,Bs 70.159,positivo,Ninguno,200 Km2,uno,"Maniobras combinadas
tierras bajas y altiplano"
110,4,11,7,Op. Vida #11,13-ene-2025,2025/01/14,CIENTO CINCUENTA,aprox. 30 vehículos,1.,BS 337203,COMPLETADA,n/a,~500 km²,Sin incidentes,"Puentes temporales instalados
por ingeniería militar"
111,3,39,24,  Filtro 2025  ,2025/12/15,21-12-2025,aprox. 250,(26 vehículos),aprox. 6 días,65813,en curso,Sin detenidos,aprox. 200 km²,1 incidentes,
112,1,48,1,"Op. ""Soberanía"" #20",06-15-2023,04/07/2023,250 efectivos,24 vehículos,aprox. 19,"USD 14,882.78",N/A,1 detenidos,  1000 km2  ,1,Patrullaje con apoyo de unidades caninas
113,4,13,14,Op Esperanza - 2025/12,28/10/2025,12/12/2025,  400  ,aprox. 16 vehículos,aprox. 45 días,339910,regular,0 personas,2000 km2,5 inc.,"Evacuación de familias afectadas
por crecida de ríos"
114,7,25,16,puma 2023,06-08-2023,"junio 20, 2023",aprox. 50,26,DOCE,"Bs.55,820",parcialmente logrado,Ninguno,200 km2,2 incidentes,Ejercicio de 'guerra no convencional'
115,1,46,2,Op.Centinela/2025,24/SEP/2025,09-25-2025,~150,  29  ,aprox. 1 días,BS 89797,positivo,10 det.,~500 km²,3 inc.,"Operación coordinada con
FELCN y Policía Nacional"
116,8,31,21,Confluencia—2024,24-07-2024,7/AGO/2024,quinientos,aprox 19,aprox. 14,BS 41386,SATISFACTORIO,Ninguno,~50 km²,n/a,"INTERCAMBIO DE
EXPERIENCIAS CON EJÉRCITO VECINO"
117,7,34,21,Operación Puma 2023-16,03/05/2023,2023-05-10,(50 efectivos),aprox. 10 vehículos,  7  ,"49,651.86 Bs",Objetivo cumplido,sin detenidos,aprox. 50,UNO,Ejercicio de 'guerra no convencional'
118,2,28,9,Op Protección - 2023/27,2023/05/10,05-26-2023,doscientos,aprox. 22 vehículos,aprox. 16 días,"USD 9,806.08",aceptable,3,50 Km2,uno,Control de 'puntos ciegos' en la frontera
119,3,31,14,Cerco—2023,9/ENE/2023,20/01/2023,aprox 200,TREINTA,+11,"91,563.44 Bs",SIN RESULTADOS,3 detenidos,800 km2,aprox. 2,
120,5,23,18,  Sofocación 2022  ,06-03-2022,25/JUN/2022,ciento cincuenta,19.,22,"Bs. 439,989.26",aceptable,n/a,aprox. 1000,tres,Flora y fauna en riesgo — operación prioritaria
121,3,32,12,Operación Filtro 2025-15,16-may-2025,20-may-2025,aprox. 200 efectivos,aprox. 14,CUATRO,68280 bolivianos,EXITOSA,aprox. 3,500,8 incidentes,
122,5,10,3,cortafuego 2025,08-10-2025,2025/09/08,~400,(38 vehículos),29,"414,855.61 Bs",resultado positivo,N/A,200 km²,(1),Apoyo con cortafuegos — área afectada extensa
123,6,11,4,"Op. ""Progreso"" #8",04-15-2024,03/05/2024,aprox. 20,13 vehículos,aprox. 18,22410.16,POSITIVO,-,  10 km2  ,cero,Construcción de camino vecinal
124,4,22,14,Alivio—2025,2025/02/04,20/02/2025,  150  ,22,  16  ,"$us 24,771.92",SIN RESULTADOS,0,aprox. 2000 km²,aprox. 1,"Coordinación con Defensa Civil
y municipios afectados"
125,1,48,8,Op. Halcón #22,20220504,08-05-2022,120,23 vehículos,CUATRO,"Bs. 38,778.31",N/A,1 det.,300 KM2,  2  ,Operación nocturna — visibilidad reducida
126,1,48,2,Op.Relámpago/2025,6/ABR/2025,15-abr-2025,+120,29,aprox. 9 días,"USD 10,198.86",INCOMPLETA,3 det.,150 km²,2,"Incautación de precursores
químicos en laboratorio"
127,2,31,23,Protección—2024,10-03-2024,04-04-2024,+150,aprox. 27,~25,84413.84,resultado positivo,3 det.,250,aprox. 1,
128,2,31,4,Operación Soberanía 2022,15/07/2022,08-07-2022,  150  ,11.,23,"120,602.82 Bs",regular,1 pers.,1000 km2,0 incidentes,Ref. Op. 2022-4: 
129,4,10,13,protección civil 2025,20251031,20251209,200,26.,+39,368720,no logrado,0,200 km2,2,
130,3,32,24,Op. Blindaje #16,18-09-2023,2023-10-10,~50,aprox. 24,22,101688 bolivianos,en proceso,aprox. 1,  250 km2  ,3,Mercadería retenida para verificación
131,2,25,20,Op.Control/2023,1/JUL/2023,"julio 3, 2023",80,29,aprox 2,"$us 4,234.31",FALLIDA,20,100 KM2,0 incidentes,"Se detectó movimiento sospechoso
en zona limítrofe"
132,2,34,20,Operación Control 2024,2024-11-05,2024/12/04,250,9.,29,"$us 20,583.31",no logrado,10 pers.,aprox. 300,N/A,Relevo de personal en posiciones avanzadas
133,3,39,24,  Candado 2022  ,24-nov-2022,5/DIC/2022,80,aprox 7,ONCE,BS 26648,,8,50.0,3 inc.,Operativo en 'ruta del contrabando'
134,2,31,13,Operación Vigilancia 2024-32,16/01/2024,21/ENE/2024,100.,29,aprox 5,"$us 7,530.71",no logrado,uno,aprox. 300,2,S/N
135,6,24,21,Op. Mano Amiga #9,20210610,2021/06/13,~30,aprox 14,TRES,"Bs. 26,917.49",logrado,-,  100 km2  ,  1  ,Campaña de vacunación — apoyo logístico militar
136,4,11,17,Op Refugio - 2023/15,20230914,11/OCT/2023,150,(40 vehículos),aprox. 27,227786.84,FAVORABLE,Sin detenidos,aprox. 2000 km²,10,"Evacuación de familias afectadas
por crecida de ríos"
137,8,47,21,"Op. ""Cruz del Sur"" #7",16/ABR/2024,04-18-2024,(200 efectivos),siete,2 días,"Bs.150,845",PARCIAL,sin detenidos,aprox. 500 km²,SIN INCIDENTES,"Maniobras combinadas
tierras bajas y altiplano"
138,5,23,7,llama 2021,2021/03/13,20210423,300 efectivos,40,41,398035 bolivianos,Incompleta,ninguno,2000,3 inc.,
139,2,32,22,Operación 'Patrulla',"marzo 30, 2023",2023/04/13,100 efectivos,DIECISIETE,aprox. 14,"Bs.76,032",Positivo,2 det.,150 Km2,,
140,1,45,1,Trueno (marzo 2022),11/01/2022,20220112,aprox. 300,aprox. 24,uno,"Bs.68,186",Satisfactorio,1 pers.,150,cinco,
141,3,39,11,Operación Blindaje 2021,02/04/2021,12-abr-2021,100 efectivos,8 vehículos,  10  ,"$us 15,788.92",SATISFACTORIO,5 pers.,~100 km²,8,Coordinación con Aduana Nacional
142,2,32,13,Defensa (octubre 2021),13/12/2021,12-30-2021,,,,,,,,,
143,4,13,17,"Op. ""Refugio"" #16",09-03-2021,2021-04-13,,,,,,,,,
